[2016-02-12 01:03:28][main.cpp:267][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 01:03:45][main.cpp:267][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 01:04:09][main.cpp:267][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 01:04:27][main.cpp:267][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 01:12:15][main.cpp:271][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 02:56:42][main.cpp:246][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 02:57:01][main.cpp:246][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 02:57:51][main.cpp:246][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 02:59:15][main.cpp:241][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 11:45:45][main.cpp:240][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 11:52:10][main.cpp:230][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 11:54:13][main.cpp:231][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 12:00:00][main.cpp:231][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 12:23:47][main.cpp:231][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 12:26:04][main.cpp:231][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 12:28:18][main.cpp:231][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 12:35:39][main.cpp:223][main]: int: 1, str: hello world, double: 1.500000
[2016-02-12 12:39:19][main.cpp:223][main]: int: 1, str: hello world, double: 1.500000
